yearMonth,species,monthlyCases
"""2022-10""","""Didelphis virginiana""",1
"""2022-10""","""Vulpes vulpes""",1
"""2022-10""","""Haliaeetus albicilla""",1
"""2022-11""","""Aves""",2676430
"""2022-11""","""Homo sapiens""",278190
"""2022-11""","""Homo sapiens""",142594
"""2022-11""","""Grus monacha""",860
"""2022-11""","""Spheniscus demersus""",151
"""2022-11""","""Spatula discors""",120
"""2022-11""","""Cygnus olor""",105
"""2022-11""","""Anser anser""",53
"""2022-11""","""Branta leucopsis""",37
"""2022-11""","""Antigone vipio""",35
"""2022-11""","""Branta canadensis""",34
"""2022-11""","""Chroicocephalus ridibundus""",27
"""2022-11""","""Anas platyrhynchos""",21
"""2022-11""","""Anas crecca""",20
"""2022-11""","""Mephitis mephitis""",15
"""2022-11""","""Larus argentatus""",12
"""2022-11""","""Anser brachyrhynchus""",11
"""2022-11""","""Corvus macrorhynchos""",7
"""2022-11""","""Sterna hirundo""",6
"""2022-11""","""Accipiter nisus""",6
"""2022-11""","""Quiscalus mexicanus""",5
"""2022-11""","""Phasianus colchicus""",5
"""2022-11""","""Columba livia""",3
"""2022-11""","""Anser caerulescens caerulescens""",3
"""2022-11""","""Charadrius hiaticula""",3
"""2022-11""","""Dendrocopos major""",3
"""2022-11""","""Ardea cinerea""",2
"""2022-11""","""Phoenicopterus roseus""",2
"""2022-11""","""Falco tinnunculus""",2
"""2022-11""","""Mareca penelope""",2
"""2022-11""","""Anas acuta""",2
"""2022-11""","""Grus japonensis""",2
"""2022-11""","""Larus schistisagus""",2
"""2022-11""","""Cygnus columbianus""",2
"""2022-11""","""Phalacrocorax capensis""",2
"""2022-11""","""Calidris alpina""",1
"""2022-11""","""Platalea minor""",1
"""2022-11""","""Uria aalge""",1
"""2022-11""","""Milvus milvus""",1
"""2022-11""","""Strix aluco""",1
"""2022-11""","""Tyto alba""",1
"""2022-11""","""Streptopelia decaocto""",1
"""2022-11""","""Ciconia boyciana""",1
"""2022-11""","""Milvus migrans""",1
"""2022-11""","""Haliaeetus albicilla""",1
"""2022-11""","""Lontra canadensis""",1
"""2022-11""","""Ursus arctos""",1
"""2022-12""","""Aves""",2040776
"""2022-12""","""Homo sapiens""",558465
"""2022-12""","""Homo sapiens""",292847
"""2022-12""","""Grus monacha""",258
"""2022-12""","""Cygnus olor""",68
"""2022-12""","""Sula variegata""",58
"""2022-12""","""Chroicocephalus ridibundus""",35
"""2022-12""","""Branta canadensis""",35
"""2022-12""","""Anser anser""",29
"""2022-12""","""Anser brachyrhynchus""",22
"""2022-12""","""Antigone vipio""",15
"""2022-12""","""Laridae""",12
"""2022-12""","""Sterna hirundo""",12
"""2022-12""","""Larus argentatus""",11
"""2022-12""","""Leucophaeus modestus""",10
"""2022-12""","""Anser caerulescens caerulescens""",10
"""2022-12""","""Phalacrocorax carbo""",8
"""2022-12""","""Columba livia""",6
"""2022-12""","""Corvus macrorhynchos""",6
"""2022-12""","""Larus dominicanus""",5
"""2022-12""","""Mareca penelope""",5
"""2022-12""","""Branta leucopsis""",4
"""2022-12""","""Accipiter gentilis""",4
"""2022-12""","""Cathartes aura""",4
"""2022-12""","""Phalacrocorax brasilianus""",4
"""2022-12""","""Larosterna inca""",4
"""2022-12""","""Accipiter nisus""",4
"""2022-12""","""Anas crecca""",4
"""2022-12""","""Felis catus""",3
"""2022-12""","""Anas platyrhynchos""",3
"""2022-12""","""Stercorarius chilensis""",3
"""2022-12""","""Haliaeetus albicilla""",3
"""2022-12""","""Vulpes vulpes""",3
"""2022-12""","""Platalea minor""",2
"""2022-12""","""Sterna hirundinacea""",2
"""2022-12""","""Coragyps atratus""",2
"""2022-12""","""Phalacrocorax gaimardi""",2
"""2022-12""","""Thalasseus elegans""",2
"""2022-12""","""Falco sparverius""",2
"""2022-12""","""Larus fuscus graellsii""",2
"""2022-12""","""Falco tinnunculus""",2
"""2022-12""","""Sula nebouxii""",1
"""2022-12""","""Calidris alba""",1
"""2022-12""","""Quiscalus mexicanus""",1
"""2022-12""","""Tyto alba""",1
"""2022-12""","""Aix galericulata""",1
"""2022-12""","""Anser albifrons""",1
"""2022-12""","""Phoenicopterus roseus""",1
"""2022-12""","""Phoenicopterus chilensis""",1
"""2022-12""","""Ardea cinerea""",1
"""2022-12""","""Haliaeetus pelagicus""",1
"""2022-12""","""Aythya marila""",1
"""2022-12""","""Lynx rufus""",1
"""2022-12""","""Mephitis mephitis""",1
"""2022-12""","""Ursus arctos""",1
"""2022-2""","""Aves""",172036
"""2022-2""","""Homo sapiens""",79775
"""2022-2""","""Homo sapiens""",21516
"""2022-2""","""Corvus splendens""",15
"""2022-2""","""Cygnus olor""",2
"""2022-2""","""Ciconia ciconia""",2
"""2022-2""","""Phalacrocorax carbo""",1
"""2022-3""","""Aves""",375173
"""2022-3""","""Homo sapiens""",271130
"""2022-3""","""Homo sapiens""",92860
"""2022-3""","""Pelecanus crispus""",3
"""2022-3""","""Uria aalge""",2
"""2022-3""","""Vulpes vulpes""",1
"""2022-3""","""Sterna hirundo""",1
"""2022-4""","""Homo sapiens""",213940
"""2022-4""","""Aves""",128753
"""2022-4""","""Homo sapiens""",75720
"""2022-4""","""Vulpes vulpes""",39
"""2022-4""","""Pelecanus crispus""",10
"""2022-4""","""Morus bassanus""",8
"""2022-4""","""Mephitis mephitis""",5
"""2022-4""","""Anser brachyrhynchus""",3
"""2022-4""","""Ciconia ciconia""",3
"""2022-4""","""Larus marinus""",2
"""2022-4""","""Anser anser""",2
"""2022-4""","""Puma""",1
"""2022-4""","""Pekania pennanti""",1
"""2022-4""","""Lynx rufus""",1
"""2022-4""","""Corvus corax""",1
"""2022-4""","""Branta leucopsis""",1
"""2022-4""","""Chroicocephalus ridibundus""",1
"""2022-4""","""Stercorarius skua""",1
"""2022-4""","""Neogale vison""",1
"""2022-4""","""Corvus corone""",1
"""2022-4""","""Nyctereutes procyonoides""",1
"""2022-4""","""Anas platyrhynchos""",1
"""2022-5""","""Homo sapiens""",126657
"""2022-5""","""Aves""",99755
"""2022-5""","""Homo sapiens""",39134
"""2022-5""","""Ichthyaetus ichthyaetus""",300
"""2022-5""","""Vulpes vulpes""",50
"""2022-5""","""Mephitis mephitis""",28
"""2022-5""","""Pelecanus crispus""",26
"""2022-5""","""Chlidonias hybrida""",18
"""2022-5""","""Stercorarius skua""",9
"""2022-5""","""Didelphis virginiana""",2
"""2022-5""","""Larus argentatus""",2
"""2022-5""","""Canis latrans""",1
"""2022-5""","""Lynx rufus""",1
"""2022-5""","""Larus fuscus graellsii""",1
"""2022-6""","""Homo sapiens""",77650
"""2022-6""","""Aves""",21272
"""2022-6""","""Homo sapiens""",21233
"""2022-6""","""Chroicocephalus ridibundus""",100
"""2022-6""","""Phoca vitulina""",17
"""2022-6""","""Vulpes vulpes""",7
"""2022-6""","""Uria aalge""",6
"""2022-6""","""Morus bassanus""",5
"""2022-6""","""Mephitis mephitis""",3
"""2022-6""","""Stercorarius skua""",2
"""2022-6""","""Sterna hirundo""",2
"""2022-6""","""Anas platyrhynchos""",1
"""2022-6""","""Columba livia""",1
"""2022-7""","""Aves""",124836
"""2022-7""","""Homo sapiens""",45745
"""2022-7""","""Homo sapiens""",8877
"""2022-7""","""Chroicocephalus brunnicephalus""",273
"""2022-7""","""Uria aalge""",25
"""2022-7""","""Phoca vitulina""",10
"""2022-7""","""Morus bassanus""",5
"""2022-7""","""Larus argentatus""",4
"""2022-7""","""Sterna paradisaea""",3
"""2022-7""","""Columba livia""",2
"""2022-7""","""Sterna hirundo""",2
"""2022-7""","""Larus michahellis atlantis""",1
"""2022-7""","""Halichoerus grypus""",1
"""2022-7""","""Mephitis mephitis""",1
"""2022-7""","""Spheniscus demersus""",1
"""2022-8""","""Aves""",140931
"""2022-8""","""Homo sapiens""",44531
"""2022-8""","""Homo sapiens""",10710
"""2022-8""","""Bos taurus""",4
"""2022-8""","""Ursus maritimus""",1
"""2022-8""","""Anas platyrhynchos""",1
"""2022-8""","""Morus bassanus""",1
"""2022-9""","""Aves""",265634
"""2022-9""","""Homo sapiens""",44707
"""2022-9""","""Homo sapiens""",18242
"""2022-9""","""Chroicocephalus ridibundus""",196
"""2022-9""","""Cygnus olor""",39
"""2022-9""","""Anser anser""",38
"""2022-9""","""Branta canadensis""",23
"""2022-9""","""Larus argentatus""",22
"""2022-9""","""Larus fuscus graellsii""",21
"""2022-9""","""Gallinula chloropus""",12
"""2022-9""","""Fulmarus glacialis""",7
"""2022-9""","""Larus canus""",6
"""2022-9""","""Morus bassanus""",6
"""2022-9""","""Bos taurus""",5
"""2022-9""","""Vulpes vulpes""",5
"""2022-9""","""Stercorarius skua""",4
"""2022-9""","""Nasua nasua""",3
"""2022-9""","""Larus marinus""",3
"""2022-9""","""Circus cyaneus""",1
"""2022-9""","""Anas crecca""",1
"""2022-9""","""Columba livia""",1
"""2022-9""","""Corvus corax""",1
"""2022-9""","""Panthera pardus orientalis""",1
"""2023-1""","""Aves""",2365775
"""2023-1""","""Cygnus olor""",104
"""2023-1""","""Chroicocephalus ridibundus""",55
"""2023-1""","""Mephitis mephitis""",42
"""2023-1""","""Sula variegata""",14
"""2023-1""","""Corvus macrorhynchos""",14
"""2023-1""","""Phalacrocorax carbo""",13
"""2023-1""","""Larus dominicanus""",13
"""2023-1""","""Vulpes vulpes""",13
"""2023-1""","""Larus argentatus""",11
"""2023-1""","""Branta canadensis""",11
"""2023-1""","""Anas platyrhynchos""",9
"""2023-1""","""Larosterna inca""",9
"""2023-1""","""Accipiter nisus""",9
"""2023-1""","""Anser anser""",8
"""2023-1""","""Larus michahellis atlantis""",7
"""2023-1""","""Leucophaeus modestus""",7
"""2023-1""","""Branta leucopsis""",6
"""2023-1""","""Sterna hirundo""",6
"""2023-1""","""Grus monacha""",6
"""2023-1""","""Leucophaeus pipixcan""",4
"""2023-1""","""Cathartes aura""",3
"""2023-1""","""Strix aluco""",3
"""2023-1""","""Accipiter gentilis""",2
"""2023-1""","""Ardea cinerea""",2
"""2023-1""","""Puma""",2
"""2023-1""","""Felis catus""",2
"""2023-1""","""Bubo bubo""",1
"""2023-1""","""Bos taurus""",1
"""2023-1""","""Ciconia ciconia""",1
"""2023-1""","""Buteo lagopus""",1
"""2023-1""","""Larus canus""",1
"""2023-1""","""Spatula clypeata""",1
"""2023-1""","""Sterna hirundinacea""",1
"""2023-1""","""Rynchops niger""",1
"""2023-1""","""Cygnus melancoryphus""",1
"""2023-1""","""Tringa flavipes""",1
"""2023-1""","""Ardea alba""",1
"""2023-1""","""Anser brachyrhynchus""",1
"""2023-1""","""Cygnus columbianus""",1
"""2023-1""","""Strix uralensis""",1
"""2023-1""","""Haliaeetus albicilla""",1
"""2023-1""","""Corvus corone""",1
"""2023-1""","""Mareca penelope""",1
"""2023-1""","""Lynx rufus""",1
"""2023-2""","""Aves""",625222
"""2023-2""","""Chroicocephalus ridibundus""",304
"""2023-2""","""Cygnus olor""",47
"""2023-2""","""Corvus splendens""",20
"""2023-2""","""Netta rufina""",10
"""2023-2""","""Corvus macrorhynchos""",8
"""2023-2""","""Vulpes vulpes""",7
"""2023-2""","""Puma""",7
"""2023-2""","""Larus dominicanus""",6
"""2023-2""","""Coscoroba coscoroba""",5
"""2023-2""","""Ardea cinerea""",5
"""2023-2""","""Anser brachyrhynchus""",5
"""2023-2""","""Mephitis mephitis""",5
"""2023-2""","""Phalacrocorax carbo""",4
"""2023-2""","""Sula variegata""",4
"""2023-2""","""Ardea alba""",3
"""2023-2""","""Branta leucopsis""",3
"""2023-2""","""Anser albifrons""",2
"""2023-2""","""Anas platyrhynchos""",2
"""2023-2""","""Enicognathus ferrugineus""",2
"""2023-2""","""Larus cachinnans""",2
"""2023-2""","""Larus michahellis atlantis""",2
"""2023-2""","""Sterna hirundo""",2
"""2023-2""","""Strix aluco""",2
"""2023-2""","""Streptopelia decaocto""",2
"""2023-2""","""Cygnus columbianus""",2
"""2023-2""","""Accipiter gentilis""",2
"""2023-2""","""Lynx rufus""",2
"""2023-2""","""Ciconia ciconia""",1
"""2023-2""","""Chlidonias hybrida""",1
"""2023-2""","""Bos taurus""",1
"""2023-2""","""Anser anser""",1
"""2023-2""","""Larus argentatus""",1
"""2023-2""","""Cygnus atratus""",1
"""2023-2""","""Bubo bubo""",1
"""2023-2""","""Laridae""",1
"""2023-2""","""Cygnus melancoryphus""",1
"""2023-2""","""Corvus corax""",1
"""2023-2""","""Fringilla coelebs""",1
"""2023-2""","""Garrulus glandarius""",1
"""2023-3""","""Aves""",218499
"""2023-3""","""Cygnus olor""",343
"""2023-3""","""Thalasseus maximus""",336
"""2023-3""","""Chroicocephalus ridibundus""",267
"""2023-3""","""Corvus macrorhynchos""",22
"""2023-3""","""Puma""",6
"""2023-3""","""Mephitis mephitis""",6
"""2023-3""","""Ciconia ciconia""",5
"""2023-3""","""Passer montanus""",5
"""2023-3""","""Anser brachyrhynchus""",4
"""2023-3""","""Vulpes vulpes""",4
"""2023-3""","""Larus argentatus""",3
"""2023-3""","""Corvus corone""",3
"""2023-3""","""Branta leucopsis""",2
"""2023-3""","""Larus cachinnans""",2
"""2023-3""","""Podiceps cristatus""",2
"""2023-3""","""Accipiter nisus""",2
"""2023-3""","""Haematopus ostralegus""",2
"""2023-3""","""Falco tinnunculus""",2
"""2023-3""","""Larus michahellis atlantis""",2
"""2023-3""","""Haliaeetus albicilla""",2
"""2023-3""","""Felis catus""",2
"""2023-3""","""Anas platyrhynchos""",1
"""2023-3""","""Halichoerus grypus""",1
"""2023-3""","""Anser anser""",1
"""2023-3""","""Coloeus monedula""",1
"""2023-3""","""Bubo bubo""",1
"""2023-3""","""Coscoroba coscoroba""",1
"""2023-3""","""Caracara""",1
"""2023-3""","""Sterna hirundinacea""",1
"""2023-3""","""Stercorarius chilensis""",1
"""2023-3""","""Sterna hirundo""",1
"""2023-3""","""Tachybaptus ruficollis""",1
"""2023-3""","""Milvus milvus""",1
"""2023-3""","""Phalacrocorax carbo""",1
"""2023-3""","""Ichthyaetus ichthyaetus""",1
"""2023-3""","""Egretta garzetta""",1
"""2023-3""","""Accipiter gentilis""",1
"""2023-3""","""Pekania pennanti""",1
"""2023-3""","""Martes americana""",1
"""2023-3""","""Canis lupus familiaris""",1
"""2023-4""","""Aves""",682223
"""2023-4""","""Chroicocephalus ridibundus""",121
"""2023-4""","""Cygnus melancoryphus""",27
"""2023-4""","""Vulpes vulpes""",23
"""2023-4""","""Enicognathus leptorhynchus""",16
"""2023-4""","""Chroicocephalus brunnicephalus""",15
"""2023-4""","""Corvus macrorhynchos""",6
"""2023-4""","""Canis lupus familiaris""",5
"""2023-4""","""Chloephaga picta""",4
"""2023-4""","""Larus argentatus""",4
"""2023-4""","""Puma""",3
"""2023-4""","""Ciconia ciconia""",1
"""2023-4""","""Bubo bubo""",1
"""2023-4""","""Gelochelidon nilotica""",1
"""2023-4""","""Platalea minor""",1
"""2023-4""","""Cygnus olor""",1
"""2023-4""","""Passer domesticus""",1
"""2023-4""","""Coscoroba coscoroba""",1
"""2023-4""","""Stercorarius chilensis""",1
"""2023-4""","""Accipiter gentilis""",1
"""2023-4""","""Branta canadensis""",1
"""2023-4""","""Milvus milvus""",1
"""2023-4""","""Falco tinnunculus""",1
"""2023-4""","""Pekania pennanti""",1
"""2023-4""","""Mephitis mephitis""",1
"""2023-5""","""Aves""",123825
"""2023-5""","""Chroicocephalus ridibundus""",386
"""2023-5""","""Cygnus melancoryphus""",101
"""2023-5""","""Sterna hirundo""",93
"""2023-5""","""Chroicocephalus brunnicephalus""",64
"""2023-5""","""Larus argentatus""",19
"""2023-5""","""Vulpes vulpes""",6
"""2023-5""","""Podiceps cristatus""",2
"""2023-5""","""Haematopus ostralegus""",2
"""2023-5""","""Sula nebouxii""",2
"""2023-5""","""Anas platyrhynchos""",2
"""2023-5""","""Thalasseus sandvicensis""",2
"""2023-5""","""Bos taurus""",1
"""2023-5""","""Thalasseus maximus""",1
"""2023-5""","""Megascops choliba""",1
"""2023-5""","""Phalacrocorax brasilianus""",1
"""2023-5""","""Chroicocephalus cirrocephalus""",1
"""2023-5""","""Sula leucogaster""",1
"""2023-5""","""Larus canus""",1
"""2023-5""","""Cygnus olor""",1
"""2023-5""","""Martes martes""",1
"""2023-5""","""Pica pica""",1
"""2023-5""","""Larus fuscus graellsii""",1
"""2023-5""","""Larus michahellis atlantis""",1
"""2023-5""","""Gallinula chloropus""",1
"""2023-5""","""Mephitis mephitis""",1
"""2023-6""","""Aves""",296466
"""2023-6""","""Chroicocephalus ridibundus""",139
"""2023-6""","""Thalasseus sandvicensis""",57
"""2023-6""","""Rissa tridactyla""",42
"""2023-6""","""Sterna hirundo""",30
"""2023-6""","""Thalasseus maximus""",21
"""2023-6""","""Chroicocephalus genei""",18
"""2023-6""","""Larus argentatus""",9
"""2023-6""","""Larus canus""",4
"""2023-6""","""Phalacrocorax carbo""",3
"""2023-6""","""Sternula albifrons""",3
"""2023-6""","""Somateria mollissima""",2
"""2023-6""","""Caracara plancus""",2
"""2023-6""","""Sterna hirundinacea""",2
"""2023-6""","""Larus marinus""",2
"""2023-6""","""Vulpes vulpes""",2
"""2023-6""","""Milvus milvus""",2
"""2023-6""","""Haliaeetus albicilla""",2
"""2023-6""","""Chroicocephalus maculipennis""",1
"""2023-6""","""Buteogallus urubitinga""",1
"""2023-6""","""Rupornis magnirostris""",1
"""2023-6""","""Ciconia ciconia""",1
"""2023-6""","""Uria aalge""",1
"""2023-6""","""Larus fuscus graellsii""",1
"""2023-6""","""Sterna dougallii""",1
"""2023-6""","""Ichthyaetus melanocephalus""",1
"""2023-6""","""Larus michahellis atlantis""",1
"""2023-6""","""Passer domesticus""",0
"""2023-7""","""Aves""",2672
"""2023-7""","""Chroicocephalus ridibundus""",51
"""2023-7""","""Rissa tridactyla""",8
"""2023-7""","""Thalasseus maximus""",2
"""2023-7""","""Sterna hirundo""",2
"""2023-7""","""Larus canus""",1
"""2023-7""","""Larus argentatus""",1
"""2023-7""","""Uria aalge""",1
