yearMonth,species,monthlyCases
"""2010-10""","""Homo sapiens""",10850
"""2010-10""","""Aves""",66
"""2010-11""","""Homo sapiens""",25450
"""2010-11""","""Homo sapiens""",9774
"""2010-11""","""Aves""",301
"""2010-12""","""Homo sapiens""",53705
"""2010-12""","""Homo sapiens""",30783
"""2010-12""","""Aves""",33
"""2010-2""","""Homo sapiens""",38812
"""2010-2""","""Homo sapiens""",22770
"""2010-2""","""Aves""",11420
"""2010-3""","""Homo sapiens""",53142
"""2010-3""","""Homo sapiens""",23826
"""2010-3""","""Aves""",5923
"""2010-4""","""Homo sapiens""",22586
"""2010-4""","""Homo sapiens""",10404
"""2010-4""","""Aves""",2350
"""2010-4""","""Sus scrofa""",36
"""2010-5""","""Homo sapiens""",18886
"""2010-5""","""Homo sapiens""",9100
"""2010-5""","""Aves""",261
"""2010-6""","""Homo sapiens""",9520
"""2010-6""","""Homo sapiens""",6124
"""2010-6""","""Aves""",5933
"""2010-7""","""Homo sapiens""",16908
"""2010-7""","""Homo sapiens""",10272
"""2010-7""","""Aves""",760
"""2010-8""","""Homo sapiens""",42166
"""2010-8""","""Homo sapiens""",22998
"""2010-8""","""Sus scrofa""",150
"""2010-9""","""Homo sapiens""",39548
"""2010-9""","""Homo sapiens""",18944
"""2010-9""","""Sus scrofa""",4
"""2011-1""","""Homo sapiens""",176539
"""2011-1""","""Homo sapiens""",110222
"""2011-1""","""Aves""",93116
"""2011-10""","""Homo sapiens""",12492
"""2011-10""","""Homo sapiens""",7950
"""2011-10""","""Aves""",1250
"""2011-11""","""Homo sapiens""",9118
"""2011-11""","""Aves""",5138
"""2011-11""","""Homo sapiens""",4052
"""2011-12""","""Homo sapiens""",19499
"""2011-12""","""Homo sapiens""",6440
"""2011-12""","""Aves""",516
"""2011-12""","""Equidae""",4
"""2011-2""","""Homo sapiens""",93177
"""2011-2""","""Homo sapiens""",64909
"""2011-2""","""Aves""",26814
"""2011-3""","""Aves""",44624
"""2011-3""","""Homo sapiens""",37906
"""2011-3""","""Homo sapiens""",26918
"""2011-3""","""Bos taurus""",2
"""2011-4""","""Homo sapiens""",13908
"""2011-4""","""Homo sapiens""",9144
"""2011-4""","""Aves""",8370
"""2011-5""","""Homo sapiens""",7227
"""2011-5""","""Homo sapiens""",4071
"""2011-5""","""Aves""",2258
"""2011-6""","""Homo sapiens""",5933
"""2011-6""","""Homo sapiens""",4469
"""2011-7""","""Equidae""",75208
"""2011-7""","""Homo sapiens""",10469
"""2011-7""","""Homo sapiens""",7132
"""2011-7""","""Aves""",5298
"""2011-8""","""Homo sapiens""",13703
"""2011-8""","""Homo sapiens""",8058
"""2011-8""","""Aves""",4642
"""2011-9""","""Homo sapiens""",11504
"""2011-9""","""Homo sapiens""",5997
"""2011-9""","""Aves""",2820
"""2012-1""","""Homo sapiens""",75875
"""2012-1""","""Homo sapiens""",32110
"""2012-1""","""Aves""",14613
"""2012-1""","""Equidae""",190
"""2012-10""","""Homo sapiens""",14468
"""2012-10""","""Homo sapiens""",7864
"""2012-10""","""Aves""",4725
"""2012-11""","""Homo sapiens""",14953
"""2012-11""","""Homo sapiens""",6962
"""2012-12""","""Homo sapiens""",77848
"""2012-12""","""Homo sapiens""",39409
"""2012-12""","""Aves""",6097
"""2012-12""","""Bos taurus""",1
"""2012-2""","""Homo sapiens""",124476
"""2012-2""","""Homo sapiens""",55666
"""2012-2""","""Aves""",13736
