yearMonth,country,species,monthlyCases
"""2005-3""","""IE""","""Homo sapiens""",34
"""2005-3""","""BG""","""Homo sapiens""",33
"""2005-3""","""BR""","""Homo sapiens""",27
"""2005-3""","""IL""","""Homo sapiens""",24
"""2005-3""","""MN""","""Homo sapiens""",18
"""2005-3""","""PH""","""Homo sapiens""",18
"""2005-3""","""CL""","""Homo sapiens""",18
"""2005-3""","""PT""","""Homo sapiens""",18
"""2005-3""","""PL""","""Homo sapiens""",12
"""2005-3""","""VE""","""Homo sapiens""",12
"""2005-3""","""GF""","""Homo sapiens""",6
"""2005-3""","""AR""","""Homo sapiens""",6
"""2005-3""","""PY""","""Homo sapiens""",4
"""2005-4""","""CN""","""Homo sapiens""",8379
"""2005-4""","""JP""","""Homo sapiens""",780
"""2005-4""","""LV""","""Homo sapiens""",777
"""2005-4""","""PE""","""Homo sapiens""",378
"""2005-4""","""FR""","""Homo sapiens""",333
"""2005-4""","""SE""","""Homo sapiens""",333
"""2005-4""","""ID""","""Homo sapiens""",219
"""2005-4""","""NO""","""Homo sapiens""",174
"""2005-4""","""US""","""Homo sapiens""",174
"""2005-4""","""ZA""","""Homo sapiens""",145
"""2005-4""","""RO""","""Homo sapiens""",117
"""2005-4""","""ZW""","""Homo sapiens""",111
"""2005-4""","""PH""","""Homo sapiens""",84
"""2005-4""","""TH""","""Homo sapiens""",66
"""2005-4""","""CL""","""Homo sapiens""",60
"""2005-4""","""GR""","""Homo sapiens""",48
"""2005-4""","""AR""","""Homo sapiens""",44
"""2005-4""","""MX""","""Homo sapiens""",40
"""2005-4""","""IT""","""Homo sapiens""",37
"""2005-4""","""TN""","""Homo sapiens""",36
"""2005-4""","""DK""","""Homo sapiens""",20
"""2005-4""","""UA""","""Homo sapiens""",10
"""2005-4""","""FI""","""Homo sapiens""",10
"""2005-4""","""GF""","""Homo sapiens""",9
"""2005-4""","""BR""","""Homo sapiens""",9
"""2005-4""","""CO""","""Homo sapiens""",8
"""2005-4""","""AU""","""Homo sapiens""",8
"""2005-4""","""MN""","""Homo sapiens""",6
"""2005-4""","""BD""","""Homo sapiens""",5
"""2005-4""","""PY""","""Homo sapiens""",4
"""2005-4""","""IS""","""Homo sapiens""",4
"""2005-4""","""CH""","""Homo sapiens""",3
"""2005-4""","""VE""","""Homo sapiens""",2
"""2005-4""","""UY""","""Homo sapiens""",2
"""2005-5""","""CN""","""Homo sapiens""",17091
"""2005-5""","""ZA""","""Homo sapiens""",1847
"""2005-5""","""CL""","""Homo sapiens""",624
"""2005-5""","""AR""","""Homo sapiens""",468
"""2005-5""","""PE""","""Homo sapiens""",386
"""2005-5""","""JP""","""Homo sapiens""",360
"""2005-5""","""PY""","""Homo sapiens""",356
"""2005-5""","""PH""","""Homo sapiens""",258
"""2005-5""","""IT""","""Homo sapiens""",234
"""2005-5""","""AU""","""Homo sapiens""",116
"""2005-5""","""LV""","""Homo sapiens""",57
"""2005-5""","""TH""","""Homo sapiens""",54
"""2005-5""","""ID""","""Homo sapiens""",33
"""2005-5""","""US""","""Homo sapiens""",25
"""2005-5""","""NO""","""Homo sapiens""",25
"""2005-5""","""MX""","""Homo sapiens""",12
"""2005-5""","""UY""","""Homo sapiens""",10
"""2005-5""","""BR""","""Homo sapiens""",9
"""2005-5""","""CO""","""Homo sapiens""",4
"""2005-5""","""DK""","""Homo sapiens""",4
"""2005-5""","""TN""","""Equidae""",4
"""2005-5""","""DO""","""Homo sapiens""",2
"""2005-5""","""VE""","""Homo sapiens""",2
"""2005-6""","""CN""","""Homo sapiens""",13608
"""2005-6""","""ZA""","""Homo sapiens""",2403
"""2005-6""","""CL""","""Homo sapiens""",2096
"""2005-6""","""AR""","""Homo sapiens""",1312
"""2005-6""","""AU""","""Homo sapiens""",960
"""2005-6""","""IT""","""Homo sapiens""",656
"""2005-6""","""PH""","""Homo sapiens""",290
"""2005-6""","""PE""","""Homo sapiens""",208
"""2005-6""","""PY""","""Homo sapiens""",168
"""2005-6""","""TH""","""Homo sapiens""",138
"""2005-6""","""UY""","""Homo sapiens""",108
"""2005-6""","""NZ""","""Homo sapiens""",82
"""2005-6""","""JP""","""Homo sapiens""",46
"""2005-6""","""BR""","""Homo sapiens""",18
"""2005-6""","""MX""","""Homo sapiens""",12
"""2005-6""","""CO""","""Homo sapiens""",10
"""2005-6""","""VE""","""Homo sapiens""",6
"""2005-7""","""CN""","""Homo sapiens""",3888
"""2005-7""","""RU""","""Aves""",3628
"""2005-7""","""AU""","""Homo sapiens""",1620
"""2005-7""","""AR""","""Homo sapiens""",1060
"""2005-7""","""CL""","""Homo sapiens""",612
"""2005-7""","""IT""","""Homo sapiens""",530
"""2005-7""","""ZA""","""Homo sapiens""",411
"""2005-7""","""TH""","""Homo sapiens""",201
"""2005-7""","""UY""","""Homo sapiens""",156
"""2005-7""","""MG""","""Homo sapiens""",66
"""2005-7""","""BR""","""Homo sapiens""",48
"""2005-7""","""JP""","""Homo sapiens""",44
"""2005-7""","""NZ""","""Homo sapiens""",42
"""2005-7""","""PE""","""Homo sapiens""",28
"""2005-7""","""PH""","""Homo sapiens""",20
"""2005-7""","""PY""","""Homo sapiens""",16
"""2005-7""","""CO""","""Homo sapiens""",14
"""2005-7""","""IL""","""Homo sapiens""",3
"""2005-7""","""VE""","""Homo sapiens""",2
"""2005-8""","""RU""","""Aves""",29021
"""2005-8""","""CN""","""Homo sapiens""",1080
"""2005-8""","""AU""","""Homo sapiens""",1046
"""2005-8""","""AR""","""Homo sapiens""",242
"""2005-8""","""TH""","""Homo sapiens""",165
"""2005-8""","""IT""","""Homo sapiens""",121
"""2005-8""","""PE""","""Homo sapiens""",116
"""2005-8""","""ZA""","""Homo sapiens""",111
"""2005-8""","""CL""","""Homo sapiens""",110
"""2005-8""","""UY""","""Homo sapiens""",102
"""2005-8""","""NZ""","""Homo sapiens""",48
"""2005-8""","""BR""","""Homo sapiens""",36
"""2005-8""","""JP""","""Homo sapiens""",32
"""2005-8""","""MG""","""Homo sapiens""",27
"""2005-8""","""CR""","""Homo sapiens""",6
"""2005-8""","""CO""","""Homo sapiens""",6
"""2005-8""","""VE""","""Homo sapiens""",6
"""2005-8""","""MX""","""Homo sapiens""",4
"""2005-8""","""PH""","""Homo sapiens""",2
"""2005-9""","""CN""","""Homo sapiens""",765
"""2005-9""","""AU""","""Homo sapiens""",256
"""2005-9""","""TH""","""Homo sapiens""",162
"""2005-9""","""AR""","""Homo sapiens""",128
"""2005-9""","""IT""","""Homo sapiens""",64
"""2005-9""","""NZ""","""Homo sapiens""",48
"""2005-9""","""RU""","""Aves""",44
"""2005-9""","""JP""","""Homo sapiens""",24
"""2005-9""","""BR""","""Homo sapiens""",18
"""2005-9""","""PE""","""Homo sapiens""",16
"""2005-9""","""CO""","""Homo sapiens""",14
"""2005-9""","""CL""","""Homo sapiens""",14
"""2005-9""","""UY""","""Homo sapiens""",12
"""2005-9""","""SN""","""Homo sapiens""",8
"""2005-9""","""MX""","""Homo sapiens""",6
"""2005-9""","""ZA""","""Homo sapiens""",6
"""2005-9""","""PH""","""Homo sapiens""",3
"""2005-9""","""NC""","""Homo sapiens""",2
"""2006-1""","""NG""","""Aves""",137380
"""2006-1""","""JP""","""Homo sapiens""",10056
"""2006-1""","""CN""","""Homo sapiens""",8901
"""2006-1""","""TR""","""Aves""",1998
"""2006-1""","""FR""","""Homo sapiens""",840
"""2006-1""","""US""","""Homo sapiens""",630
"""2006-1""","""NO""","""Homo sapiens""",544
"""2006-1""","""ZA""","""Homo sapiens""",288
"""2006-1""","""ZW""","""Homo sapiens""",280
"""2006-1""","""PT""","""Homo sapiens""",270
"""2006-1""","""SE""","""Homo sapiens""",255
"""2006-1""","""MG""","""Homo sapiens""",183
"""2006-1""","""MN""","""Homo sapiens""",174
"""2006-1""","""EG""","""Homo sapiens""",172
"""2006-1""","""TN""","""Homo sapiens""",156
"""2006-1""","""LV""","""Homo sapiens""",150
"""2006-1""","""TR""","""Homo sapiens""",140
"""2006-1""","""IL""","""Homo sapiens""",135
"""2006-1""","""IT""","""Homo sapiens""",115
"""2006-1""","""UA""","""Aves""",78
"""2006-1""","""GR""","""Homo sapiens""",75
"""2006-1""","""CZ""","""Homo sapiens""",75
"""2006-1""","""CH""","""Homo sapiens""",45
"""2006-1""","""BD""","""Homo sapiens""",38
"""2006-1""","""PE""","""Homo sapiens""",32
"""2006-1""","""TH""","""Homo sapiens""",27
"""2006-1""","""RO""","""Aves""",26
"""2006-1""","""MX""","""Homo sapiens""",18
"""2006-1""","""DE""","""Homo sapiens""",16
"""2006-1""","""DK""","""Homo sapiens""",16
"""2006-1""","""FI""","""Homo sapiens""",16
"""2006-1""","""ES""","""Homo sapiens""",12
"""2006-1""","""PH""","""Homo sapiens""",9
"""2006-1""","""HK""","""Aves""",9
"""2006-1""","""VE""","""Homo sapiens""",6
"""2006-1""","""LU""","""Homo sapiens""",6
"""2006-1""","""CO""","""Homo sapiens""",6
"""2006-1""","""BR""","""Homo sapiens""",6
"""2006-1""","""AU""","""Homo sapiens""",4
"""2006-1""","""IS""","""Homo sapiens""",4
"""2006-1""","""RO""","""Homo sapiens""",3
"""2006-1""","""MY""","""Homo sapiens""",3
"""2006-1""","""AR""","""Homo sapiens""",2
"""2006-1""","""CL""","""Homo sapiens""",2
"""2006-1""","""NC""","""Homo sapiens""",2
"""2006-10""","""CN""","""Homo sapiens""",1332
"""2006-10""","""PH""","""Homo sapiens""",712
"""2006-10""","""MG""","""Homo sapiens""",426
"""2006-10""","""TH""","""Homo sapiens""",309
"""2006-10""","""CL""","""Homo sapiens""",216
"""2006-10""","""AR""","""Homo sapiens""",198
"""2006-10""","""MX""","""Homo sapiens""",104
"""2006-10""","""IT""","""Homo sapiens""",99
"""2006-10""","""KH""","""Homo sapiens""",45
"""2006-10""","""CO""","""Homo sapiens""",40
"""2006-10""","""CA""","""Homo sapiens""",28
"""2006-10""","""MN""","""Homo sapiens""",24
"""2006-10""","""SV""","""Homo sapiens""",16
"""2006-10""","""PE""","""Homo sapiens""",14
"""2006-10""","""NC""","""Homo sapiens""",10
"""2006-10""","""MA""","""Homo sapiens""",10
"""2006-10""","""TR""","""Homo sapiens""",8
"""2006-10""","""AU""","""Homo sapiens""",8
"""2006-10""","""SE""","""Homo sapiens""",6
"""2006-10""","""MY""","""Homo sapiens""",6
"""2006-10""","""CR""","""Homo sapiens""",6
"""2006-10""","""JP""","""Homo sapiens""",4
"""2006-10""","""IL""","""Homo sapiens""",3
"""2006-10""","""BR""","""Homo sapiens""",3
"""2006-10""","""US""","""Homo sapiens""",2
"""2006-10""","""EG""","""Homo sapiens""",2
"""2006-10""","""NO""","""Homo sapiens""",1
"""2006-11""","""KR""","""Aves""",6600
"""2006-11""","""CN""","""Homo sapiens""",783
"""2006-11""","""PH""","""Homo sapiens""",277
"""2006-11""","""TH""","""Homo sapiens""",198
"""2006-11""","""CA""","""Homo sapiens""",176
"""2006-11""","""SE""","""Homo sapiens""",105
"""2006-11""","""BR""","""Homo sapiens""",81
"""2006-11""","""CL""","""Homo sapiens""",68
"""2006-11""","""EG""","""Homo sapiens""",62
"""2006-11""","""JP""","""Homo sapiens""",56
"""2006-11""","""SE""","""Aves""",52
"""2006-11""","""MA""","""Homo sapiens""",48
"""2006-11""","""MX""","""Homo sapiens""",42
"""2006-11""","""MG""","""Homo sapiens""",36
"""2006-11""","""US""","""Homo sapiens""",33
"""2006-11""","""BG""","""Homo sapiens""",33
"""2006-11""","""MY""","""Homo sapiens""",24
"""2006-11""","""CO""","""Homo sapiens""",14
"""2006-11""","""AU""","""Homo sapiens""",14
"""2006-11""","""TR""","""Homo sapiens""",14
"""2006-11""","""CZ""","""Homo sapiens""",12
"""2006-11""","""MN""","""Homo sapiens""",12
"""2006-11""","""CR""","""Homo sapiens""",10
"""2006-11""","""FR""","""Homo sapiens""",6
"""2006-11""","""KH""","""Homo sapiens""",6
"""2006-11""","""AR""","""Homo sapiens""",6
"""2006-11""","""PE""","""Homo sapiens""",4
"""2006-11""","""CH""","""Homo sapiens""",3
"""2006-11""","""IL""","""Homo sapiens""",3
"""2006-11""","""GR""","""Homo sapiens""",3
"""2006-11""","""IT""","""Homo sapiens""",3
"""2006-11""","""NO""","""Homo sapiens""",2
"""2006-11""","""ZA""","""Homo sapiens""",2
"""2006-11""","""ZW""","""Homo sapiens""",2
"""2006-11""","""NC""","""Homo sapiens""",2
"""2006-12""","""EG""","""Aves""",283050
"""2006-12""","""VN""","""Aves""",9834
"""2006-12""","""CN""","""Homo sapiens""",6030
"""2006-12""","""KR""","""Aves""",3000
"""2006-12""","""CA""","""Homo sapiens""",1070
"""2006-12""","""IL""","""Homo sapiens""",510
"""2006-12""","""FR""","""Homo sapiens""",276
"""2006-12""","""SE""","""Homo sapiens""",234
"""2006-12""","""MA""","""Homo sapiens""",226
"""2006-12""","""JP""","""Homo sapiens""",182
"""2006-12""","""PH""","""Homo sapiens""",138
"""2006-12""","""US""","""Homo sapiens""",136
"""2006-12""","""CH""","""Homo sapiens""",114
"""2006-12""","""EG""","""Homo sapiens""",106
"""2006-12""","""ZA""","""Homo sapiens""",92
"""2006-12""","""ZW""","""Homo sapiens""",92
"""2006-12""","""NO""","""Homo sapiens""",83
"""2006-12""","""GR""","""Homo sapiens""",42
"""2006-12""","""MX""","""Homo sapiens""",28
"""2006-12""","""NC""","""Homo sapiens""",22
"""2006-12""","""CL""","""Homo sapiens""",22
"""2006-12""","""RO""","""Homo sapiens""",18
"""2006-12""","""TR""","""Homo sapiens""",14
"""2006-12""","""MG""","""Homo sapiens""",12
"""2006-12""","""TN""","""Homo sapiens""",9
"""2006-12""","""IT""","""Homo sapiens""",9
"""2006-12""","""DE""","""Homo sapiens""",6
"""2006-12""","""LU""","""Homo sapiens""",6
"""2006-12""","""CZ""","""Homo sapiens""",6
"""2006-12""","""MN""","""Homo sapiens""",6
"""2006-12""","""AU""","""Homo sapiens""",4
"""2006-12""","""PT""","""Homo sapiens""",3
"""2006-12""","""BD""","""Homo sapiens""",3
"""2006-12""","""MY""","""Homo sapiens""",3
"""2006-12""","""KE""","""Homo sapiens""",3
"""2006-12""","""CR""","""Homo sapiens""",2
"""2006-12""","""CO""","""Homo sapiens""",2
"""2006-2""","""EG""","""Aves""",2314568
"""2006-2""","""NG""","""Aves""",83969
"""2006-2""","""CN""","""Homo sapiens""",9531
"""2006-2""","""JP""","""Homo sapiens""",4228
"""2006-2""","""FR""","""Homo sapiens""",2541
"""2006-2""","""TR""","""Aves""",2191
"""2006-2""","""LV""","""Homo sapiens""",1860
"""2006-2""","""US""","""Homo sapiens""",1611
"""2006-2""","""NO""","""Homo sapiens""",1599
"""2006-2""","""ES""","""Homo sapiens""",1506
"""2006-2""","""ZA""","""Homo sapiens""",852
"""2006-2""","""ZW""","""Homo sapiens""",847
"""2006-2""","""SE""","""Homo sapiens""",846
"""2006-2""","""RO""","""Aves""",822
"""2006-2""","""CH""","""Homo sapiens""",522
"""2006-2""","""PT""","""Homo sapiens""",450
"""2006-2""","""IT""","""Homo sapiens""",302
"""2006-2""","""DE""","""Homo sapiens""",282
"""2006-2""","""IL""","""Homo sapiens""",240
"""2006-2""","""CZ""","""Homo sapiens""",222
"""2006-2""","""FI""","""Homo sapiens""",176
"""2006-2""","""AL""","""Aves""",123
"""2006-2""","""TN""","""Homo sapiens""",120
"""2006-2""","""BD""","""Homo sapiens""",100
"""2006-2""","""SD""","""Aves""",100
"""2006-2""","""GR""","""Homo sapiens""",99
"""2006-2""","""LU""","""Homo sapiens""",93
"""2006-2""","""TH""","""Homo sapiens""",78
"""2006-2""","""CM""","""Aves""",50
"""2006-2""","""MY""","""Aves""",50
"""2006-2""","""MY""","""Homo sapiens""",39
"""2006-2""","""SI""","""Homo sapiens""",38
"""2006-2""","""RO""","""Homo sapiens""",33
"""2006-2""","""EG""","""Homo sapiens""",24
"""2006-2""","""PH""","""Homo sapiens""",24
"""2006-2""","""UA""","""Aves""",24
"""2006-2""","""MG""","""Homo sapiens""",21
"""2006-2""","""IS""","""Homo sapiens""",20
"""2006-2""","""IT""","""Aves""",20
"""2006-2""","""HK""","""Aves""",19
"""2006-2""","""TR""","""Homo sapiens""",18
"""2006-2""","""PL""","""Homo sapiens""",15
"""2006-2""","""DK""","""Homo sapiens""",10
"""2006-2""","""SN""","""Homo sapiens""",6
"""2006-2""","""AR""","""Homo sapiens""",4
"""2006-2""","""BR""","""Homo sapiens""",3
"""2006-2""","""MN""","""Homo sapiens""",3
"""2006-2""","""VE""","""Homo sapiens""",2
"""2006-2""","""CO""","""Homo sapiens""",2
"""2006-3""","""EG""","""Aves""",13744944
"""2006-3""","""IL""","""Aves""",15100
"""2006-3""","""CN""","""Homo sapiens""",13410
"""2006-3""","""MM""","""Aves""",12169
"""2006-3""","""NG""","""Aves""",3668
"""2006-3""","""ES""","""Homo sapiens""",2046
"""2006-3""","""DE""","""Homo sapiens""",1888
"""2006-3""","""FR""","""Homo sapiens""",1719
"""2006-3""","""JP""","""Homo sapiens""",1684
"""2006-3""","""SE""","""Homo sapiens""",1056
"""2006-3""","""US""","""Homo sapiens""",756
"""2006-3""","""NO""","""Homo sapiens""",739
"""2006-3""","""ZA""","""Homo sapiens""",677
"""2006-3""","""LV""","""Homo sapiens""",636
"""2006-3""","""CH""","""Homo sapiens""",612
"""2006-3""","""ZW""","""Homo sapiens""",573
"""2006-3""","""KH""","""Aves""",478
"""2006-3""","""TR""","""Aves""",406
"""2006-3""","""IL""","""Homo sapiens""",381
"""2006-3""","""RO""","""Aves""",324
"""2006-3""","""FI""","""Homo sapiens""",304
