yearMonth,species,class,monthlyCases
"""2021-10""","""Spheniscus demersus""","""Aves""",207
"""2021-10""","""Morus capensis""","""Aves""",20
"""2021-10""","""Phasianus colchicus""","""Aves""",5
"""2021-10""","""Haliaeetus albicilla""","""Aves""",3
"""2021-10""","""Accipiter gentilis""","""Aves""",3
"""2021-10""","""Alopochen aegyptiaca""","""Aves""",2
"""2021-10""","""Phalacrocorax lucidus""","""Aves""",2
"""2021-10""","""Strix uralensis""","""Aves""",1
"""2021-11""","""Aves""",null,141055
"""2021-11""","""Phalacrocorax capensis""","""Aves""",2701
"""2021-11""","""Anser albifrons""","""Aves""",1
"""2021-11""","""Cygnus olor""","""Aves""",1
"""2021-11""","""Larus marinus""","""Aves""",1
"""2021-11""","""Larus argentatus""","""Aves""",1
"""2021-11""","""Accipiter gentilis""","""Aves""",1
"""2021-11""","""Sterna hirundo""","""Aves""",1
"""2021-12""","""Aves""",null,140564
"""2021-12""","""Phalacrocorax capensis""","""Aves""",33
"""2021-12""","""Sterna hirundo""","""Aves""",2
"""2021-12""","""Accipiter gentilis""","""Aves""",1
"""2021-12""","""Phalacrocorax lucidus""","""Aves""",1
"""2021-2""","""Aves""",null,141402
"""2021-2""","""Branta leucopsis""","""Aves""",1
"""2021-3""","""Aves""",null,306838
"""2021-3""","""Branta leucopsis""","""Aves""",4
"""2021-3""","""Anser sp.""","""Aves""",1
"""2021-3""","""Milvus milvus""","""Aves""",1
"""2021-3""","""Uria aalge""","""Aves""",1
"""2021-3""","""Larus fuscus graellsii""","""Aves""",1
"""2021-4""","""Aves""",null,124713
"""2021-4""","""Branta leucopsis""","""Aves""",9
"""2021-4""","""Corvus frugilegus""","""Aves""",3
"""2021-4""","""Ciconia ciconia""","""Aves""",1
"""2021-4""","""Haliaeetus albicilla""","""Aves""",1
"""2021-5""","""Aves""",null,206523
"""2021-5""","""Phalacrocorax capensis""","""Aves""",223
"""2021-5""","""Spheniscus demersus""","""Aves""",178
"""2021-5""","""Branta leucopsis""","""Aves""",15
"""2021-5""","""Threskiornis aethiopicus""","""Aves""",14
"""2021-5""","""Laridae""","""Aves""",13
"""2021-5""","""Alopochen aegyptiaca""","""Aves""",9
"""2021-5""","""Haliaeetus albicilla""","""Aves""",7
"""2021-5""","""Sterna hirundo""","""Aves""",4
"""2021-5""","""Ara ararauna""","""Aves""",2
"""2021-5""","""Tyto alba""","""Aves""",2
"""2021-5""","""Plectropterus gambensis""","""Aves""",2
"""2021-5""","""Larus dominicanus""","""Aves""",2
"""2021-5""","""Pterodroma macroptera""","""Aves""",1
"""2021-5""","""Haematopus bachmani""","""Aves""",1
"""2021-5""","""Chroicocephalus cirrocephalus""","""Aves""",1
"""2021-5""","""Larus argentatus""","""Aves""",1
"""2021-5""","""Circus aeruginosus""","""Aves""",1
"""2021-6""","""Aves""",null,126187
"""2021-6""","""Pelecanus crispus""","""Aves""",78
"""2021-6""","""Larus dominicanus""","""Aves""",29
"""2021-6""","""Phalacrocorax capensis""","""Aves""",13
"""2021-6""","""Cygnus atratus""","""Aves""",12
"""2021-6""","""Threskiornis aethiopicus""","""Aves""",8
"""2021-6""","""Laridae""","""Aves""",7
"""2021-6""","""Phalacrocorax carbo""","""Aves""",3
"""2021-6""","""Larus argentatus""","""Aves""",2
"""2021-6""","""Grus paradisea""","""Aves""",2
"""2021-6""","""Stercorarius lonnbergi""","""Aves""",1
"""2021-6""","""Thalasseus sandvicensis""","""Aves""",1
"""2021-6""","""Anas platyrhynchos""","""Aves""",1
"""2021-6""","""Haliaeetus albicilla""","""Aves""",1
"""2021-6""","""Branta leucopsis""","""Aves""",1
"""2021-6""","""Cygnus olor""","""Aves""",1
"""2021-7""","""Aves""",null,176456
"""2021-7""","""Pelecanus crispus""","""Aves""",7
"""2021-7""","""Larus argentatus""","""Aves""",2
"""2021-7""","""Stercorarius skua""","""Aves""",2
"""2021-8""","""Aves""",null,69964
"""2021-8""","""Cygnus olor""","""Aves""",3
"""2021-8""","""Phalacrocorax carbo""","""Aves""",2
"""2021-8""","""Bostrychia hagedash""","""Aves""",2
"""2021-8""","""Bubo bubo""","""Aves""",1
"""2021-8""","""Larus argentatus""","""Aves""",1
"""2021-8""","""Larus canus""","""Aves""",1
"""2021-8""","""Mergus merganser""","""Aves""",1
"""2021-8""","""Accipiter gentilis""","""Aves""",1
"""2021-9""","""Aves""",null,301535
"""2021-9""","""Phalacrocorax capensis""","""Aves""",3223
"""2021-9""","""Phasianus colchicus""","""Aves""",42
"""2021-9""","""Phalacrocorax lucidus""","""Aves""",4
"""2021-9""","""Branta leucopsis""","""Aves""",3
"""2021-9""","""Spheniscus demersus""","""Aves""",2
"""2021-9""","""Sterna hirundo""","""Aves""",1
"""2022-1""","""Aves""",null,517486
"""2022-1""","""Anas platyrhynchos""","""Aves""",12
"""2022-1""","""Grus monacha""","""Aves""",1
"""2022-10""","""Aves""",null,1087475
"""2022-10""","""Chroicocephalus ridibundus""","""Aves""",276
"""2022-10""","""Branta canadensis""","""Aves""",135
"""2022-10""","""Sterna hirundo""","""Aves""",96
"""2022-10""","""Anser anser""","""Aves""",65
"""2022-10""","""Cygnus olor""","""Aves""",58
"""2022-10""","""Anas crecca""","""Aves""",49
"""2022-10""","""Anser brachyrhynchus""","""Aves""",46
"""2022-10""","""Anas platyrhynchos""","""Aves""",45
"""2022-10""","""Egretta garzetta""","""Aves""",28
"""2022-10""","""Phasianus colchicus""","""Aves""",22
"""2022-10""","""Larus argentatus""","""Aves""",12
"""2022-10""","""Morus bassanus""","""Aves""",6
"""2022-10""","""Mephitis mephitis""","""Mammalia""",6
"""2022-10""","""Anser sp.""","""Aves""",5
"""2022-10""","""Morus capensis""","""Aves""",5
"""2022-10""","""Corvus corone""","""Aves""",4
"""2022-10""","""Numenius arquata""","""Aves""",4
"""2022-10""","""Branta leucopsis""","""Aves""",4
"""2022-10""","""Columba livia""","""Aves""",4
"""2022-10""","""Accipiter nisus""","""Aves""",3
"""2022-10""","""Falco tinnunculus""","""Aves""",3
"""2022-10""","""Mareca penelope""","""Aves""",3
"""2022-10""","""Falco rusticolus""","""Aves""",2
"""2022-10""","""Alectoris rufa""","""Aves""",2
"""2022-10""","""Anser albifrons""","""Aves""",2
"""2022-10""","""Corvus corax""","""Aves""",2
"""2022-10""","""Spatula discors""","""Aves""",1
"""2022-10""","""Corvus frugilegus""","""Aves""",1
"""2022-10""","""Strix aluco""","""Aves""",1
"""2022-10""","""Milvus milvus""","""Aves""",1
"""2022-10""","""Larus fuscus graellsii""","""Aves""",1
"""2022-10""","""Pandion haliaetus""","""Aves""",1
"""2022-10""","""Bos taurus""","""Mammalia""",1
"""2022-10""","""Ciconia ciconia""","""Aves""",1
"""2022-10""","""Ursus arctos""","""Mammalia""",1
"""2022-10""","""Didelphis virginiana""","""Mammalia""",1
"""2022-10""","""Vulpes vulpes""","""Mammalia""",1
"""2022-10""","""Haliaeetus albicilla""","""Aves""",1
"""2022-11""","""Aves""",null,2676430
"""2022-11""","""Grus monacha""","""Aves""",860
"""2022-11""","""Spheniscus demersus""","""Aves""",151
"""2022-11""","""Spatula discors""","""Aves""",120
"""2022-11""","""Cygnus olor""","""Aves""",105
"""2022-11""","""Anser anser""","""Aves""",53
"""2022-11""","""Branta leucopsis""","""Aves""",37
"""2022-11""","""Antigone vipio""","""Aves""",35
"""2022-11""","""Branta canadensis""","""Aves""",34
"""2022-11""","""Chroicocephalus ridibundus""","""Aves""",27
"""2022-11""","""Anas platyrhynchos""","""Aves""",21
"""2022-11""","""Anas crecca""","""Aves""",20
"""2022-11""","""Mephitis mephitis""","""Mammalia""",15
"""2022-11""","""Larus argentatus""","""Aves""",12
"""2022-11""","""Anser brachyrhynchus""","""Aves""",11
"""2022-11""","""Corvus macrorhynchos""","""Aves""",7
"""2022-11""","""Sterna hirundo""","""Aves""",6
"""2022-11""","""Accipiter nisus""","""Aves""",6
"""2022-11""","""Quiscalus mexicanus""","""Aves""",5
"""2022-11""","""Phasianus colchicus""","""Aves""",5
"""2022-11""","""Columba livia""","""Aves""",3
