yearMonth,country,species,class,monthlyCases
"""2005-11""","""MG""","""Homo sapiens""","""Mammalia""",78
"""2005-11""","""EG""","""Homo sapiens""","""Mammalia""",62
"""2005-11""","""TN""","""Homo sapiens""","""Mammalia""",51
"""2005-11""","""MN""","""Homo sapiens""","""Mammalia""",45
"""2005-11""","""CO""","""Homo sapiens""","""Mammalia""",32
"""2005-11""","""US""","""Homo sapiens""","""Mammalia""",31
"""2005-11""","""PT""","""Homo sapiens""","""Mammalia""",12
"""2005-11""","""SE""","""Homo sapiens""","""Mammalia""",12
"""2005-11""","""PE""","""Homo sapiens""","""Mammalia""",6
"""2005-11""","""IL""","""Homo sapiens""","""Mammalia""",3
"""2005-11""","""CZ""","""Homo sapiens""","""Mammalia""",3
"""2005-11""","""DE""","""Homo sapiens""","""Mammalia""",2
"""2005-11""","""TR""","""Homo sapiens""","""Mammalia""",2
"""2005-11""","""SI""","""Homo sapiens""","""Mammalia""",2
"""2005-11""","""RO""","""Aves""","""Aves""",369
"""2005-12""","""CN""","""Homo sapiens""","""Mammalia""",7614
"""2005-12""","""JP""","""Homo sapiens""","""Mammalia""",2288
"""2005-11""","""TR""","""Aves""","""Aves""",237
"""2005-12""","""UA""","""Aves""","""Aves""",146349
"""2005-12""","""MN""","""Homo sapiens""","""Mammalia""",291
"""2005-12""","""MG""","""Homo sapiens""","""Mammalia""",288
"""2005-12""","""MX""","""Homo sapiens""","""Mammalia""",162
"""2005-12""","""EG""","""Homo sapiens""","""Mammalia""",158
"""2005-12""","""US""","""Homo sapiens""","""Mammalia""",109
"""2005-12""","""TN""","""Homo sapiens""","""Mammalia""",108
"""2005-12""","""PH""","""Homo sapiens""","""Mammalia""",81
"""2005-12""","""FR""","""Homo sapiens""","""Mammalia""",81
"""2005-12""","""TR""","""Homo sapiens""","""Mammalia""",36
"""2005-12""","""SE""","""Homo sapiens""","""Mammalia""",30
"""2005-12""","""NO""","""Homo sapiens""","""Mammalia""",30
