iso3,species,flua,fluCases
"""SEN""","""Homo sapiens""","""Influenza A virus""",5300
"""BFA""","""Homo sapiens""","""Influenza A virus""",399
"""NGA""","""Homo sapiens""","""Influenza A virus""",547
"""MRT""","""Homo sapiens""","""Influenza A virus""",126
"""MLI""","""Homo sapiens""","""Influenza A virus""",474
"""BGD""","""Homo sapiens""","""Influenza A virus""",3261
"""CAF""","""Homo sapiens""","""Influenza A virus""",405
"""TLS""","""Homo sapiens""","""Influenza A virus""",327
"""ZWE""","""Homo sapiens""","""Influenza A virus""",10
"""FJI""","""Homo sapiens""","""Influenza A virus""",531
"""NAM""","""Homo sapiens""","""Influenza A virus""",16
"""SUR""","""Homo sapiens""","""Influenza A virus""",70
"""KEN""","""Homo sapiens""","""Influenza A virus""",4669
"""MMR""","""Homo sapiens""","""Influenza A virus""",326
"""YEM""","""Homo sapiens""","""Influenza A virus""",35
"""SYC""","""Homo sapiens""","""Influenza A virus""",9
"""CUB""","""Homo sapiens""","""Influenza A virus""",4480
"""LCA""","""Homo sapiens""","""Influenza A virus""",11
"""MKD""","""Homo sapiens""","""Influenza A virus""",277
"""BRB""","""Homo sapiens""","""Influenza A virus""",40
"""KWT""","""Homo sapiens""","""Influenza A virus""",4506
"""TTO""","""Homo sapiens""","""Influenza A virus""",39
"""NZL""","""Homo sapiens""","""Influenza A virus""",10148
"""SLE""","""Homo sapiens""","""Influenza A virus""",106
"""PNG""","""Homo sapiens""","""Influenza A virus""",67
"""RWA""","""Homo sapiens""","""Influenza A virus""",337
"""CYP""","""Homo sapiens""","""Influenza A virus""",1454
"""DMA""","""Homo sapiens""","""Influenza A virus""",7
"""TCD""","""Homo sapiens""","""Influenza A virus""",12
"""BHS""","""Homo sapiens""","""Influenza A virus""",4
"""BIH""","""Homo sapiens""","""Influenza A virus""",213
"""AGO""","""Homo sapiens""","""Influenza A virus""",26
"""SDN""","""Homo sapiens""","""Influenza A virus""",11
