iso3,species,flua,fluCases
"""BFA""","""Homo sapiens""","""Influenza A virus""",71
"""NGA""","""Homo sapiens""","""Influenza A virus""",54
"""MRT""","""Homo sapiens""","""Influenza A virus""",60
"""MLI""","""Homo sapiens""","""Influenza A virus""",105
"""BGD""","""Homo sapiens""","""Influenza A virus""",691
"""CAF""","""Homo sapiens""","""Influenza A virus""",38
"""TLS""","""Homo sapiens""","""Influenza A virus""",287
"""ZWE""","""Homo sapiens""","""Influenza A virus""",10
"""FJI""","""Homo sapiens""","""Influenza A virus""",211
"""NAM""","""Homo sapiens""","""Influenza A virus""",16
"""SUR""","""Homo sapiens""","""Influenza A virus""",10
"""KEN""","""Homo sapiens""","""Influenza A virus""",212
"""MMR""","""Homo sapiens""","""Influenza A virus""",16
"""YEM""","""Homo sapiens""","""Influenza A virus""",6
"""SYC""","""Homo sapiens""","""Influenza A virus""",1
"""CUB""","""Homo sapiens""","""Influenza A virus""",392
"""LCA""","""Homo sapiens""","""Influenza A virus""",1
"""MKD""","""Homo sapiens""","""Influenza A virus""",85
"""BRB""","""Homo sapiens""","""Influenza A virus""",2
"""KWT""","""Homo sapiens""","""Influenza A virus""",144
