carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Feline coronavirus,Alphacoronavirus Alphacoronavirus 1,yes,Virus,RNA virus,ss+,Thalwitzer et al. 2010,East-central Namibia,28.31,-15.41,WN,Animals,NA,0.03,67,All,All,,NA,Yes,67,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bacillus anthracis,Bacillus anthracis,yes,Bacteria,Firmicutes,Bacilli,Good et al. 2008,"Jwana Game Reserve, BOTSWANA",28.86,-22.07,WN,Animals,NA,0.0435,23,NA,NA,,NA,Yes,23,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,Kenya,37.91,-0.02,WN,Animals,NA,0.143,7,All,All,,NA,Yes,7,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Masai Mara National Park, Nairobi National Park, Ngorongoro crater,  Serengeti National Park and Namibia",35.14,-1.49,WN,Animals,NA,0.333,36,Female,NA,,NA,Yes,36,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Masai Mara National Park, Nairobi National Park, Ngorongoro crater,  Serengeti National Park and Namibia",35.14,-1.49,WN,Animals,NA,0.25,28,NA,Juvenile,,NA,Yes,28,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Masai Mara National Park, Nairobi National Park, Ngorongoro crater,  Serengeti National Park and Namibia",35.14,-1.49,WN,Animals,NA,0.311,74,All,All,,NA,Yes,74,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Masai Mara National Park, Nairobi National Park, Ngorongoro crater,  Serengeti National Park and Namibia",35.14,-1.49,WN,Animals,NA,0.294,34,Male,NA,,NA,Yes,34,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Masai Mara National Park, Nairobi National Park, Ngorongoro crater,  Serengeti National Park and Namibia",35.14,-1.49,WN,Animals,NA,0.357,42,All,Adult,,NA,Yes,42,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,Namibia,18.49,-22.96,WN,Animals,NA,0.25,52,NA,NA,,NA,Yes,52,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Bartonella henselae,Bartonella henselae,yes,Bacteria,Proteobacteria,Alphaproteobacteria,Molia et al. 2004,"Ngorongoro crater and Serengeti National Park, Tanzania",34.78,-2.33,WN,Animals,NA,0.6,15,NA,NA,,NA,Yes,15,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Cryptococcus neoformans var. gattii,Cryptococcus gattii,yes,Fungus,Basidiomycota,Tremellomycetes,Millward and Williams 2005,South Africa,22.94,-30.56,WN,Animals,necropsy and culture,1,1,Male,Adult,,NA,Yes,1,DirectOther
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Helicobacter spp.,Helicobacter sp.,no,Bacteria,Proteobacteria,Epsilonproteobacteria,Munson et al. 2005,Farmland region of north central Namibia,NA,NA,WN,Samples,NA,0.885,76,All,Adult,,NA,Yes,61,DirectOther
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Hepatozoon sp.,Hepatozoon sp.,no,Protozoa,Apicomplexa,Coccidia,Averbeck et al. 1990,"Ngorongoro Crater, Tanzania",NA,NA,WN,Animals,NA,1,2,NA,NA,,NA,Yes,2,DirectBlood
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Hepatozoon sp.,Hepatozoon sp.,no,Protozoa,Apicomplexa,Coccidia,Averbeck et al. 1990,"Serengeti National Park, Tanzania ",NA,NA,WN,Animals,NA,1,6,NA,NA,,NA,Yes,6,DirectBlood
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Lentivirus feline immunodeficiency virus,Lentivirus Feline immunodeficiency virus,yes,Virus,RNA virus,ssRT,Brown et al. 1993,Serengeti and Ngorongoro Crater,34.83,-2.33,WN,Animals,Seroprev,0.29,41,NA,NA,,NA,Yes,41,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Lentivirus feline immunodeficiency virus,Lentivirus Feline immunodeficiency virus,yes,Virus,RNA virus,ssRT,Osofsky et al. 1996,Botswana,24.68,-22.33,WN,Animals,Serology,0.33,3,Male,All,,NA,Yes,3,DirectBlood
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Rabies virus,Lyssavirus Rabies lyssavirus,yes,Virus,RNA virus,ss-,Thalwitzer et al. 2010,East-central Namibia,28.31,-15.41,WN,Animals,NA,0.049,42,All,All,,NA,Yes,42,Serology
carnivores,Acinonyx jubatus,Acinonyx jubatus,Carnivora,Felidae,terrestrial,Canine distemper virus,Morbillivirus Canine distemper virus,yes,Virus,RNA virus,ss-,Munson et al. 2004,Namibia,18.49,-22.96,WN,Animals,NA,0.9,10,NA,All,,NA,Yes,10,Serology
