Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
201880,Mortality/Morbidity,TRUE,1,3/4/22,3/4/22,United States,Ohio,"Guernsey County, OH",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201879,Mortality/Morbidity,TRUE,3,3/9/22,3/16/22,United States,Minnesota,"Kandiyohi County, MN",Great Horned Owl; Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
201872,Mortality/Morbidity,TRUE,1,3/8/22,3/8/22,United States,North Carolina,"Davidson County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201868,Mortality/Morbidity,TRUE,1,3/8/22,3/8/22,United States,North Carolina,"Beaufort County, NC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5) suspect
201864,Mortality/Morbidity,TRUE,1,3/4/22,3/4/22,United States,North Carolina,"Pamlico County, NC",Ruddy Duck,Highly Pathogenic Avian Influenza (AI virus H5)
201863,Mortality/Morbidity,TRUE,2,3/4/22,3/5/22,United States,South Carolina,"Charleston County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5)
201860,Mortality/Morbidity,TRUE,1,2/20/22,2/20/22,United States,North Carolina,"Brunswick County, NC",Brown Pelican,Highly Pathogenic Avian Influenza (AI virus H5)
201858,Mortality/Morbidity,TRUE,3,3/1/22,3/1/22,United States,Florida,"Charlotte County, FL",Hooded Merganser,Highly Pathogenic Avian Influenza (AI virus H5) suspect
201850,Mortality/Morbidity,TRUE,155,3/7/22,4/1/22,United States,South Dakota,"Charles Mix County, SD",Snow Goose; Canada Goose; Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201849,Mortality/Morbidity,TRUE,1,3/1/22,3/2/22,United States,Ohio,"Ottawa County, OH",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201848,Mortality/Morbidity,TRUE,3001,3/4/22,3/23/22,United States,Kansas,"Mitchell County, KS",Lesser Snow Goose; Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
201847,Mortality/Morbidity,TRUE,506,3/4/22,3/23/22,United States,Kansas,"Norton County, KS",Lesser Snow Goose; Canada Goose; Unidentified Duck; American Coot; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
201845,Mortality/Morbidity,TRUE,80,3/7/22,4/4/22,United States,Missouri,"Chariton County, MO",Snow Goose,Avian Cholera; Highly Pathogenic Avian Influenza (AI virus H5N1)
201838,Mortality/Morbidity,TRUE,7,3/1/22,3/7/22,United States,Ohio,"Ottawa County, OH",Bald Eagle; Unidentified Gull; Common Merganser; Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N1)
201837,Mortality/Morbidity,TRUE,320,3/6/22,3/7/22,United States,Illinois,"Fulton County, IL",Snow Goose; Ross' Goose,Avian Cholera; Highly Pathogenic Avian Influenza (AI virus H5N1)
201833,Mortality/Morbidity,TRUE,19,3/1/22,9/15/22,United States,Massachusetts,"Barnstable County, MA",Northern Gannet; Sanderling; Great Shearwater; Red-tailed Hawk; Turkey Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
201831,Mortality/Morbidity,TRUE,5,2/24/22,2/24/22,United States,Georgia,"Camden County, GA",Lesser Scaup,Highly Pathogenic Avian Influenza (AI virus H5)
201830,Mortality/Morbidity,TRUE,1,1/24/22,1/24/22,United States,Georgia,"Glynn County, GA",Lesser Scaup,Highly Pathogenic Avian Influenza (AI virus H5)
201829,Mortality/Morbidity,TRUE,4077,3/2/22,4/11/22,United States,Missouri,"Holt County, MO",Lesser Snow Goose; Ross' Goose; American Coot,Highly Pathogenic Avian Influenza (AI virus H5N1)
