Event ID,Event Type,Public,Number Affected,Event Start Date,Event End Date,Countries,States (or equivalent),Counties (or equivalent),Species,Event Diagnosis
202868,Mortality/Morbidity,TRUE,1,11/29/22,11/29/22,United States,Kansas,"Hamilton County, KS",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202867,Mortality/Morbidity,TRUE,1,11/29/22,11/29/22,United States,Kansas,"Finney County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202865,Mortality/Morbidity,TRUE,25,11/28/22,11/28/22,United States,Tennessee,"Greene County, TN",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202864,Mortality/Morbidity,TRUE,30,11/28/22,11/28/22,United States,Tennessee,"Jefferson County, TN",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202862,Mortality/Morbidity,TRUE,5,11/28/22,11/28/22,United States,Louisiana,"Richland Parish, LA; Ouachita Parish, LA",Snow Goose; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202861,Mortality/Morbidity,TRUE,101,11/26/22,11/26/22,United States,Louisiana,"Morehouse Parish, LA",Snow Goose; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202860,Mortality/Morbidity,TRUE,554,11/21/22,11/29/22,United States,Washington,"Skagit County, WA",Snow Goose; Dunlin; Mallard; Glaucous-winged Gull; Trumpeter Swan; Great Blue Heron; Short-Eared (Pueo) Owl,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202859,Mortality/Morbidity,TRUE,1,11/23/22,11/23/22,United States,Kansas,"Finney County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202858,Mortality/Morbidity,TRUE,1,11/27/22,11/27/22,United States,Kansas,"Kearny County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202857,Mortality/Morbidity,TRUE,1,11/28/22,11/28/22,United States,Kansas,"Hamilton County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202851,Mortality/Morbidity,TRUE,2,11/25/22,11/25/22,United States,Arkansas,"Cross County, AR",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202850,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,Arkansas,"Monroe County, AR",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202849,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,Arkansas,"Pope County, AR",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202848,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,Arkansas,"Pulaski County, AR",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202847,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,Arkansas,"Conway County, AR",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202845,Mortality/Morbidity,TRUE,3,11/25/22,11/25/22,United States,Arkansas,"Prairie County, AR",Snow Goose; Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202844,Mortality/Morbidity,TRUE,1,11/25/22,11/25/22,United States,Arkansas,"Lonoke County, AR",Ross' Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202843,Mortality/Morbidity,TRUE,1235,11/22/22,,United States,Indiana,"Gibson County, IN",Snow Goose; Double-crested Cormorant; American Coot; American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202842,Mortality/Morbidity,TRUE,21,11/25/22,12/6/22,United States,Vermont,"Orleans County, VT",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202841,Mortality/Morbidity,TRUE,1,11/21/22,11/21/22,United States,Kansas,"Lincoln County, KS",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202840,Mortality/Morbidity,TRUE,153,11/25/22,12/15/22,United States,Louisiana,"Avoyelles Parish, LA",Snow Goose; Greater White-fronted Goose; Northern Pintail,Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (not otherwise specified); Undetermined
202839,Mortality/Morbidity,TRUE,161,11/28/22,12/29/22,United States,Missouri,"Holt County, MO",Snow Goose; Mallard; Greater White-fronted Goose; Trumpeter Swan,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202832,Mortality/Morbidity,TRUE,2,11/22/22,11/22/22,United States,North Carolina,"Onslow County, NC",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202830,Mortality/Morbidity,TRUE,12,11/21/22,11/21/22,United States,North Carolina,"Johnston County, NC",Mallard,Duck Plague; Highly Pathogenic Avian Influenza (AI virus H5N1)
202829,Mortality/Morbidity,TRUE,15,11/17/22,11/17/22,United States,South Carolina,"Chester County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202826,Mortality/Morbidity,TRUE,1,10/25/22,10/25/22,United States,Oregon,"Douglas County, OR",Western Snowy Plover,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202825,Mortality/Morbidity,TRUE,1000,11/21/22,12/10/22,United States,South Dakota,"Clark County, SD",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202824,Mortality/Morbidity,TRUE,1006,11/21/22,12/15/22,United States,Kansas,"Pottawatomie County, KS",Lesser Snow Goose; Common Merganser; Canada Goose; Green-winged Teal; Redhead Duck; Ring-necked Duck,Highly Pathogenic Avian Influenza (AI virus H5N1)
202822,Mortality/Morbidity,TRUE,8,10/25/22,10/25/22,United States,Kansas,"Jefferson County, KS",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202818,Mortality/Morbidity,TRUE,1,11/16/22,11/16/22,United States,Kentucky,"Warren County, KY",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202817,Mortality/Morbidity,TRUE,2,11/13/22,11/15/22,United States,North Carolina,"Orange County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202812,Mortality/Morbidity,TRUE,8,11/4/22,11/4/22,United States,Tennessee,"Jackson County, TN",Northern Pintail,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202811,Mortality/Morbidity,TRUE,416,11/12/22,12/1/22,United States,Washington,"Whatcom County, WA",Snow Goose; Canada Goose; Trumpeter Swan; American Wigeon; American Crow,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202809,Mortality/Morbidity,TRUE,5,11/4/22,11/4/22,United States,Georgia,"Barrow County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202807,Mortality/Morbidity,TRUE,2,11/10/22,11/10/22,United States,Georgia,"Franklin County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect; Undetermined
202806,Mortality/Morbidity,TRUE,2,11/2/22,11/2/22,United States,South Carolina,"Spartanburg County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202805,Mortality/Morbidity,TRUE,12,11/4/22,11/4/22,United States,North Carolina,"Rutherford County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202804,Mortality/Morbidity,TRUE,200,11/4/22,11/4/22,United States,North Carolina,"Granville County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202802,Mortality/Morbidity,TRUE,1,11/1/22,11/1/22,United States,Wisconsin,"Winnebago County, WI",River Otter,Encephalitis; Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202796,Mortality/Morbidity,TRUE,1,11/1/22,11/1/22,United States,Louisiana,"Cameron Parish, LA",Greater White-fronted Goose,Emaciation (starvation); Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202791,Mortality/Morbidity,TRUE,13,11/3/22,11/3/22,United States,Georgia,"Newton County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202790,Mortality/Morbidity,TRUE,2,11/2/22,11/2/22,United States,Georgia,"Greene County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202789,Mortality/Morbidity,TRUE,1,11/1/22,11/1/22,United States,North Carolina,"Onslow County, NC",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202788,Mortality/Morbidity,TRUE,15,10/31/22,10/31/22,United States,North Carolina,"Wake County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202769,Mortality/Morbidity,TRUE,1,10/21/22,10/21/22,United States,Georgia,"De Kalb County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202768,Mortality/Morbidity,TRUE,3,10/21/22,10/21/22,United States,Georgia,"Rockdale County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202766,Mortality/Morbidity,TRUE,1,10/31/22,10/31/22,United States,Georgia,"Houston County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202764,Mortality/Morbidity,TRUE,1,10/27/22,10/27/22,United States,Kansas,"Reno County, KS",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202763,Mortality/Morbidity,TRUE,10,10/23/22,10/30/22,United States,North Carolina,"Haywood County, NC",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202762,Mortality/Morbidity,TRUE,76,10/31/22,10/31/22,United States,North Carolina,"Durham County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect; Septicemia
202761,Mortality/Morbidity,TRUE,6,10/30/22,10/30/22,United States,Georgia,"McDuffie County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202745,Mortality/Morbidity,TRUE,5,10/24/22,10/24/22,United States,North Carolina,"Chatham County, NC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202744,Mortality/Morbidity,TRUE,3,10/23/22,10/23/22,United States,South Carolina,"Aiken County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202741,Mortality/Morbidity,TRUE,1,10/17/22,10/17/22,United States,Kansas,"Montgomery County, KS",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202730,Mortality/Morbidity,TRUE,12,10/13/22,10/13/22,United States,Georgia,"Wilkes County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202727,Mortality/Morbidity,TRUE,10,10/20/22,11/9/22,United States,California,"Humboldt County, CA",Aleutian Cackling  Goose; Greater White-fronted Goose; Northern Pintail; Common Raven; Unidentified Duck or Goose; Turkey Vulture; Great Blue Heron,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202724,Mortality/Morbidity,TRUE,85,10/5/22,10/11/22,United States,Texas,"Chambers County, TX",Blue-winged Teal; Glossy Ibis; Black-necked Stilt; Mottled Duck; Forster's Tern; Roseate Spoonbill,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202721,Mortality/Morbidity,TRUE,16,10/5/22,10/5/22,United States,Georgia,"Lee County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202720,Mortality/Morbidity,TRUE,1,10/13/22,10/13/22,United States,Georgia,"Lamar County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202706,Mortality/Morbidity,TRUE,1,10/11/22,10/11/22,United States,Georgia,"Clarke County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202701,Mortality/Morbidity,TRUE,1,10/4/22,10/4/22,United States,Kansas,"Johnson County, KS",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202700,Mortality/Morbidity,TRUE,50,9/15/22,9/29/22,United States,Georgia,"Jenkins County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202696,Mortality/Morbidity,TRUE,5,10/4/22,10/4/22,United States,Kentucky,"Jefferson County, KY",Mallard; Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202694,Mortality/Morbidity,TRUE,1,9/27/22,9/27/22,United States,Georgia,"Peach County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202693,Mortality/Morbidity,TRUE,3,9/30/22,9/30/22,United States,Georgia,"Forsyth County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202691,Mortality/Morbidity,TRUE,10,9/23/22,9/23/22,United States,Georgia,"Forsyth County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202690,Mortality/Morbidity,TRUE,10,10/3/22,10/3/22,United States,Georgia,"Gwinnett County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202687,Mortality/Morbidity,TRUE,37,10/4/22,10/12/22,United States,Minnesota,"Aitkin County, MN",Canada Goose; Trumpeter Swan,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202686,Mortality/Morbidity,TRUE,8,3/31/22,3/31/22,United States,Florida,"Citrus County, FL",Black Vulture; Brown Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202682,Mortality/Morbidity,TRUE,25,9/21/22,12/15/22,United States,Arizona,"Maricopa County, AZ",Canada Goose; American White Pelican; Unidentified Domestic Or Hybrid Goose; Neotropic (Olivaceous) Cormorant,Highly Pathogenic Avian Influenza (AI virus H5N1)
202677,Mortality/Morbidity,TRUE,1,9/22/22,9/22/22,United States,Georgia,"Cherokee County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202674,Mortality/Morbidity,TRUE,1,9/16/22,9/16/22,United States,Florida,"Lee County, FL",Bald Eagle,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
202670,Mortality/Morbidity,TRUE,137,9/21/22,11/9/22,United States,Wisconsin,"Marinette County, WI; Oconto County, WI",Blue-winged Teal; Green-winged Teal; American Coot; Mallard; American White Pelican; Common Goldeneye,Highly Pathogenic Avian Influenza (AI virus H5N1); Trematodiasis (Cyathocotyle bushiensis); Trematodiasis (Leyogonimus polyoon); Trematodiasis (Sphaeridiotrema sp.)
202669,Mortality/Morbidity,TRUE,10,9/7/22,9/7/22,United States,Georgia,"De Kalb County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202668,Mortality/Morbidity,TRUE,1,9/19/22,9/19/22,United States,Georgia,"Gwinnett County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202663,Mortality/Morbidity,TRUE,1,9/10/22,9/10/22,United States,South Carolina,"Charleston County, SC",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202658,Mortality/Morbidity,TRUE,1,9/15/22,9/16/22,United States,Montana,"Ravalli County, MT",Trumpeter Swan,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202657,Mortality/Morbidity,TRUE,70,3/1/22,3/21/22,United States,Florida,"Brevard County, FL; Orange County, FL; Volusia County, FL",Black Vulture; Brown Pelican; Herring Gull; Osprey; Bald Eagle; Red-shouldered Hawk,Highly Pathogenic Avian Influenza (AI virus H5); Undetermined
202656,Mortality/Morbidity,TRUE,27,9/17/22,9/30/22,United States,Pennsylvania,"Lackawanna County, PA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202651,Mortality/Morbidity,TRUE,8,9/8/22,9/14/22,United States,Idaho,"Jefferson County, ID",Canada Goose; Mallard,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202647,Mortality/Morbidity,TRUE,2,9/6/22,9/6/22,United States,Virginia,"Norfolk City, VA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202646,Mortality/Morbidity,TRUE,1,8/29/22,8/29/22,United States,Georgia,"Columbia County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202635,Mortality/Morbidity,TRUE,7,9/1/22,9/6/22,United States,Wisconsin,"Manitowoc County, WI",American White Pelican; Greater Sandhill Crane; Mallard; Great Egret,Highly Pathogenic Avian Influenza (AI virus H5N1)
202634,Mortality/Morbidity,TRUE,2,9/6/22,9/6/22,United States,Georgia,"Butts County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202633,Mortality/Morbidity,TRUE,15,8/25/22,9/1/22,United States,Wisconsin,"Winnebago County, WI",Canada Goose; Mallard; Unidentified Gull,Highly Pathogenic Avian Influenza (AI virus H5N1)
202632,Mortality/Morbidity,TRUE,3,9/1/22,9/1/22,United States,Georgia,"Clayton County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202626,Mortality/Morbidity,TRUE,7,9/1/22,9/6/22,United States,Georgia,"Forsyth County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202620,Mortality/Morbidity,TRUE,1,5/10/22,5/10/22,United States,North Carolina,"Carteret County, NC",Bald Eagle,Blunt Trauma (vehicle collision); Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202611,Mortality/Morbidity,TRUE,10,8/31/22,8/31/22,United States,Georgia,"Spaulding County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202610,Mortality/Morbidity,TRUE,3,8/30/22,8/30/22,United States,Georgia,"Henry County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202607,Mortality/Morbidity,TRUE,3,8/31/22,8/31/22,United States,Georgia,"Jasper County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202602,Mortality/Morbidity,TRUE,14,8/28/22,9/1/22,United States,Wisconsin,"Sheboygan County, WI",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202597,Mortality/Morbidity,TRUE,16,8/25/22,8/25/22,United States,South Carolina,"McCormick County, SC",Black Vulture; American Crow,Highly Pathogenic Avian Influenza (AI virus H5N1); Trauma (not otherwise specified)
202592,Mortality/Morbidity,TRUE,54,8/23/22,8/23/22,United States,Georgia,"De Kalb County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202591,Mortality/Morbidity,TRUE,1,8/24/22,8/24/22,United States,Georgia,"Clayton County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202587,Mortality/Morbidity,TRUE,55,8/18/22,8/22/22,United States,Virginia,"Fluvanna County, VA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202586,Mortality/Morbidity,TRUE,25,8/17/22,8/22/22,United States,Virginia,"Orange County, VA",Black Vulture,Blunt Trauma (not otherwise specified) suspect; Highly Pathogenic Avian Influenza (AI virus H5N1)
202584,Mortality/Morbidity,TRUE,109,8/15/22,9/1/22,United States,Wisconsin,"Dodge County, WI",American White Pelican; Canada Goose; Double-crested Cormorant; Green-winged Teal; Mallard; Ring-billed Gull; Unidentified Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202579,Mortality/Morbidity,TRUE,1,3/29/22,3/29/22,United States,Florida,"Dixie County, FL",Bottlenose Dolphin,Encephalitis; Highly Pathogenic Avian Influenza (AI virus H5N1)
202578,Mortality/Morbidity,TRUE,35,8/15/22,1/1/23,United States,Nevada,"Washoe County, NV",Mallard; Canada Goose; American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202571,Mortality/Morbidity,TRUE,1,8/12/22,8/12/22,United States,South Carolina,"Charleston County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202570,Mortality/Morbidity,TRUE,50,8/15/22,8/15/22,United States,Georgia,"Henry County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202558,Mortality/Morbidity,TRUE,230,8/4/22,9/1/22,United States,South Carolina,"Richland County, SC",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202553,Mortality/Morbidity,TRUE,1,8/1/22,8/1/22,United States,Georgia,"Tattnall County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1) suspect
202551,Mortality/Morbidity,TRUE,1,4/10/22,4/10/22,United States,Maine,"York County, ME",Peregrine Falcon,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202539,Mortality/Morbidity,TRUE,1,4/19/22,4/19/22,United States,Missouri,"St Louis County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202538,Mortality/Morbidity,TRUE,1,4/13/22,4/13/22,United States,Missouri,"Miller County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202537,Mortality/Morbidity,TRUE,1,3/15/22,3/15/22,United States,Missouri,"Lincoln County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202536,Mortality/Morbidity,TRUE,1,4/8/22,4/8/22,United States,Missouri,"Macon County, MO",Ring-necked Duck,Highly Pathogenic Avian Influenza (AI virus H5N1)
202535,Mortality/Morbidity,TRUE,1,4/8/22,4/8/22,United States,Missouri,"St Charles County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202534,Mortality/Morbidity,TRUE,1,4/7/22,4/7/22,United States,Missouri,"Vernon County, MO",Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1)
202533,Mortality/Morbidity,TRUE,1,4/4/22,4/4/22,United States,Missouri,"Howard County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202532,Mortality/Morbidity,TRUE,1,4/3/22,4/3/22,United States,Missouri,"Chariton County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202521,Mortality/Morbidity,TRUE,10,5/6/22,5/6/22,United States,Washington,"Pierce County, WA",Mallard,Highly Pathogenic Avian Influenza (AI virus H5N1)
202519,Mortality/Morbidity,TRUE,17,6/24/22,7/12/22,United States,Massachusetts,"Plymouth County, MA; Barnstable County, MA",Great Black-backed Gull; Double-crested Cormorant; Herring Gull; Willet,Highly Pathogenic Avian Influenza (AI virus H5N1); Salmonellosis; Undetermined
202518,Mortality/Morbidity,TRUE,2,3/29/22,3/29/22,United States,Missouri,"Vernon County, MO",American White Pelican,Highly Pathogenic Avian Influenza (AI virus H5N1)
202517,Mortality/Morbidity,TRUE,1,3/28/22,3/28/22,United States,Missouri,"Scott County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202516,Mortality/Morbidity,TRUE,1,3/25/22,3/25/22,United States,Missouri,"Callaway County, MO",Lesser Scaup,Highly Pathogenic Avian Influenza (AI virus H5)
202515,Mortality/Morbidity,TRUE,1,3/22/22,3/22/22,United States,Missouri,"Jackson County, MO",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202513,Mortality/Morbidity,TRUE,1,3/21/22,3/21/22,United States,Missouri,"Lewis County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202512,Mortality/Morbidity,TRUE,1,3/9/22,3/9/22,United States,Missouri,"Clay County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202511,Mortality/Morbidity,TRUE,1,3/16/22,3/16/22,United States,Missouri,"St Clair County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202509,Mortality/Morbidity,TRUE,1,7/14/22,7/14/22,United States,California,"Siskiyou County, CA",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202508,Mortality/Morbidity,TRUE,1,3/13/22,3/13/22,United States,Missouri,"Platte County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202507,Mortality/Morbidity,TRUE,1,3/15/22,3/15/22,United States,Missouri,"Monroe County, MO",Bald Eagle,Highly Pathogenic Avian Influenza (AI virus H5N1)
202506,Mortality/Morbidity,TRUE,1,3/4/22,3/4/22,United States,Missouri,"St Louis County, MO",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202504,Mortality/Morbidity,TRUE,32,7/18/22,9/21/22,United States,Minnesota,"Marshall County, MN",American White Pelican; Blue-winged Teal; Ring-billed Gull,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202500,Mortality/Morbidity,TRUE,2,3/12/22,3/12/22,United States,Missouri,"Chariton County, MO",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202495,Mortality/Morbidity,TRUE,200,3/12/22,3/12/22,United States,Missouri,"Holt County, MO",Snow Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202491,Mortality/Morbidity,TRUE,6,6/24/22,7/6/22,United States,Indiana,"Marion County, IN",Canada Goose,Highly Pathogenic Avian Influenza (AI virus H5N1)
202490,Mortality/Morbidity,TRUE,1,4/4/22,4/4/22,United States,Florida,"Broward County, FL",Crested Caracara,Highly Pathogenic Avian Influenza (AI virus H5N1)
202452,Mortality/Morbidity,TRUE,1,6/6/22,6/6/22,United States,Alaska,"Nome Census Area, AK",Red Fox,Highly Pathogenic Avian Influenza (AI virus H5N1); Rabies
202446,Mortality/Morbidity,TRUE,3,6/30/22,6/30/22,United States,Virginia,"Loudoun County, VA",Black Vulture,Aspergillosis; Highly Pathogenic Avian Influenza (AI virus H5N1)
202438,Mortality/Morbidity,TRUE,291,6/23/22,1/5/23,United States,California,"Colusa County, CA; Glenn County, CA",American White Pelican; Canada Goose; Beaver; Mallard; Wood Duck; Muskrat; Snowy Egret; Lesser Snow Goose; Ross' Goose; Great Horned Owl; Greater White-fronted Goose; Gadwall; Ruddy Duck; Red-tailed Hawk,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202430,Mortality/Morbidity,TRUE,1326,7/1/22,,United States,Iowa,"Clinton County, IA",American White Pelican; Double-crested Cormorant,"Highly Pathogenic Avian Influenza (AI virus H5N1); Parasitism (Trematode, not otherwise specified); Undetermined"
202429,Mortality/Morbidity,TRUE,1325,7/1/22,8/23/22,United States,Illinois,"Carroll County, IL",American White Pelican; Double-crested Cormorant,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202428,Mortality/Morbidity,TRUE,157,6/1/22,7/31/22,United States,Maine,"Cumberland County, ME; Knox County, ME; Lincoln County, ME; Sagadahoc County, ME; York County, ME",Harbor Seal; Gray Seal,Highly Pathogenic Avian Influenza (AI virus H5N1); Undetermined
202427,Mortality/Morbidity,TRUE,20,6/30/22,6/30/22,United States,Georgia,"Dougherty County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
202424,Mortality/Morbidity,TRUE,2,6/12/22,6/12/22,United States,Maine,"Sagadahoc County, ME",Common Eider,Gout; Highly Pathogenic Avian Influenza (AI virus H5N1)
202423,Mortality/Morbidity,TRUE,2,6/23/22,6/23/22,United States,Maine,"York County, ME",Common Tern,Highly Pathogenic Avian Influenza (AI virus H5N1)
202384,Mortality/Morbidity,TRUE,30,6/11/22,,United States,North Dakota,"Stutsman County, ND",Eared Grebe,Highly Pathogenic Avian Influenza (AI virus H5N1)
202380,Mortality/Morbidity,TRUE,65,6/13/22,6/13/22,United States,Massachusetts,"Essex County, MA",Common Eider,Blunt Trauma (not otherwise specified); Highly Pathogenic Avian Influenza (AI virus H5N1)
202355,Mortality/Morbidity,TRUE,1,6/1/22,6/1/22,United States,Georgia,"Chatham County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5)
202350,Mortality/Morbidity,TRUE,2,5/31/22,6/1/22,United States,Georgia,"Toombs County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5)
202347,Mortality/Morbidity,TRUE,1,5/29/22,5/29/22,United States,Georgia,"Toombs County, GA",Black Vulture,Highly Pathogenic Avian Influenza (AI virus H5N1)
